Date de l'export,Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau0,Nuance0,Binôme0,Sièges0,Voix0,% Voix/Ins0,% Voix/Exp0,N°Panneau1,Nuance1,Binôme1,Sièges1,Voix1,% Voix/Ins1,% Voix/Exp1,N°Panneau2,Nuance2,Binôme2,Sièges2,Voix2,% Voix/Ins2,% Voix/Exp2
30/03/2015 13:58,1,AIN,1,Ambérieu-en-Bugey,19027,9516,50.01,9511,49.99,813,4.27,8.55,411,2.16,4.32,8287,43.55,87.13,1,BC-UD,Mme CASTELLANO Sandrine et M. FORTIN Christophe,Elus,4855,25.52,58.59,4,BC-FN,Mme PAGNEUX Nadège et M. VERGNAULT Jean-Pierre, ,3432,18.04,41.41,,,,,,,
30/03/2015 13:58,1,AIN,2,Attignat,16741,7202,43.02,9539,56.98,197,1.18,2.07,73,0.44,0.77,9269,55.37,97.17,3,BC-UG,Mme BROYER Mireille et M. ROCHE Jean-Pierre, ,3040,18.16,32.8,1,BC-UD,Mme FOURNIER Clotilde et M. MARTIN Walter,Elus,4038,24.12,43.56,2,BC-FN,Mme GAGNEUX Virginie et M. PHILIPPE Yves, ,2191,13.09,23.64
30/03/2015 13:58,1,AIN,3,Bellegarde-sur-Valserine,12773,7145,55.94,5628,44.06,285,2.23,5.06,80,0.63,1.42,5263,41.2,93.51,1,BC-UG,Mme BOUVET-MULTON Myriam et M. LARMANJAT Guy,Elus,3616,28.31,68.71,2,BC-FN,Mme MARTIN Elodie et M. SOKOLOWSKI Patrick, ,1647,12.89,31.29,,,,,,,
30/03/2015 13:58,1,AIN,4,Belley,16868,6696,39.7,10172,60.3,237,1.41,2.33,91,0.54,0.89,9844,58.36,96.78,1,BC-UG,M. FOGNINI Jean-Marc et Mme GUILLON Pascale, ,3769,22.34,38.29,4,BC-UD,M. HEDON Jean-Yves et Mme TARDY Carène,Elus,4018,23.82,40.82,2,BC-FN,M. MARIÉ Patrick et Mme MAYET Jocelyne, ,2057,12.19,20.9
30/03/2015 13:58,1,AIN,5,Bourg-en-Bresse-1,19931,10202,51.19,9729,48.81,304,1.53,3.12,150,0.75,1.54,9275,46.54,95.33,1,BC-UG,Mme COURTINE Françoise et M. LACROIX Guillaume, ,3990,20.02,43.02,3,BC-UD,Mme MARECHAL Hélène et M. PERRET Bernard,Elus,5285,26.52,56.98,,,,,,,
30/03/2015 13:58,1,AIN,6,Bourg-en-Bresse-2,17304,8476,48.98,8828,51.02,361,2.09,4.09,168,0.97,1.9,8299,47.96,94.01,4,BC-UG,Mme BERNARD Cécile et M. FONTAINE Michel, ,3890,22.48,46.87,2,BC-UD,Mme CEDILEAU Hélène et M. LURIN Pierre,Elus,4409,25.48,53.13,,,,,,,
30/03/2015 13:58,1,AIN,7,Ceyzériat,17838,7840,43.95,9998,56.05,240,1.35,2.4,88,0.49,0.88,9670,54.21,96.72,2,BC-UG,M. MAZUIR Rachel et Mme PANABIERES Marie-Claire, ,2906,16.29,30.05,1,BC-UD,M. FLOCHON Jean-Yves et Mme TABOURET Martine,Elus,4014,22.5,41.51,5,BC-FN,Mme CHAUDESAIGUES Roxane et M. GIRARD Didier, ,2750,15.42,28.44
30/03/2015 13:58,1,AIN,8,Châtillon-sur-Chalaronne,20427,10227,50.07,10200,49.93,631,3.09,6.19,168,0.82,1.65,9401,46.02,92.17,2,BC-UD,M. CLAYETTE Yves et Mme LUGA GIRAUD Muriel,Elus,5706,27.93,60.7,3,BC-FN,M. CHAUSSAT Maxime et Mme SIMIAN Aimée, ,3695,18.09,39.3,,,,,,,
30/03/2015 13:58,1,AIN,9,Gex,16657,10305,61.87,6352,38.13,317,1.9,4.99,130,0.78,2.05,5905,35.45,92.96,4,BC-UD,Mme BAUDE Véronique et M. PAOLI Gérard,Elus,4675,28.07,79.17,2,BC-FN,Mme DE MAUDUIT Claire et M. FELLER Florian, ,1230,7.38,20.83,,,,,,,
30/03/2015 13:58,1,AIN,10,Hauteville-Lompnes,15235,7363,48.33,7872,51.67,739,4.85,9.39,269,1.77,3.42,6864,45.05,87.2,1,BC-UD,M. EMIN Philippe et Mme MEURIAU Annie,Elus,4330,28.42,63.08,3,BC-FN,Mme MARTINEZ Nathalie et M. SAINT MARS Patrick, ,2534,16.63,36.92,,,,,,,
30/03/2015 13:58,1,AIN,11,Lagnieu,23112,12020,52.01,11092,47.99,673,2.91,6.07,234,1.01,2.11,10185,44.07,91.82,4,BC-UD,M. DE LA VERPILLIERE Charles et Mme VAUDRAY Viviane,Elus,6825,29.53,67.01,3,BC-FN,Mme PRIEUR Annick et M. SIGRIST Georges, ,3360,14.54,32.99,,,,,,,
30/03/2015 13:58,1,AIN,12,Meximieux,20623,10605,51.42,10018,48.58,830,4.02,8.29,308,1.49,3.07,8880,43.06,88.64,2,BC-UD,M. DAUBIÉ Romain et Mme LAROCHE Elisabeth,Elus,5415,26.26,60.98,1,BC-FN,Mme DE LACHEISSERIE Nicole et M. PRIEUR Yves, ,3465,16.8,39.02,,,,,,,
30/03/2015 13:58,1,AIN,13,Miribel,19438,9627,49.53,9811,50.47,187,0.96,1.91,56,0.29,0.57,9568,49.22,97.52,1,BC-UG,Mme BOUVIER Josiane et M. GOUBET Pierre, ,3554,18.28,37.14,3,BC-UD,M. GAITET Jean-Pierre et Mme TERRIER Caroline,Elus,3678,18.92,38.44,2,BC-FN,M. GOBET Patrice et Mme LABROSSE Patricia, ,2336,12.02,24.41
30/03/2015 13:58,1,AIN,14,Nantua,13149,6990,53.16,6159,46.84,338,2.57,5.49,89,0.68,1.45,5732,43.59,93.07,3,BC-UD,M. DEGUERRY Jean et Mme LORILLARD Natacha,Elus,3893,29.61,67.92,2,BC-FN,M. BENOIT Morgan et Mme BERTHAUD Valérie, ,1839,13.99,32.08,,,,,,,
30/03/2015 13:58,1,AIN,15,Oyonnax,13492,8030,59.52,5462,40.48,240,1.78,4.39,114,0.84,2.09,5108,37.86,93.52,3,BC-UD,Mme MAISSIAT Liliane et M. PERRAUD Michel,Elus,3344,24.79,65.47,2,BC-FN,Mme BUHLER Marie-France et M. PROMONET Claude, ,1764,13.07,34.53,,,,,,,
30/03/2015 13:58,1,AIN,16,Pont-d'Ain,14800,6526,44.09,8274,55.91,127,0.86,1.53,45,0.3,0.54,8102,54.74,97.92,2,BC-UG,Mme BOLLACHE Anne et M. BORRONI Mario, ,2415,16.32,29.81,3,BC-UD,M. ABAD Damien et Mme CHAPEL Marie-Christine,Elus,3538,23.91,43.67,1,BC-FN,M. KUTA Richard et Mme VEILLEROT Annick, ,2149,14.52,26.52
30/03/2015 13:58,1,AIN,17,Replonges,21542,10686,49.61,10856,50.39,783,3.63,7.21,372,1.73,3.43,9701,45.03,89.36,1,BC-UMP,M. BILLOUDET Guy et Mme GUYON Valérie,Elus,6197,28.77,63.88,4,BC-FN,Mme MARQUEYROL Marie-Louise et M. SEVELINGE David, ,3504,16.27,36.12,,,,,,,
30/03/2015 13:58,1,AIN,18,Saint-Etienne-du-Bois,16068,6504,40.48,9564,59.52,245,1.52,2.56,56,0.35,0.59,9263,57.65,96.85,1,BC-UG,M. GESTAS Alain et Mme WIEL Monique, ,3535,22,38.16,4,BC-UD,M. CHAPUIS Alain et Mme JOURNET Catherine,Elus,3785,23.56,40.86,2,BC-FN,M. BERTRAND Gaël et Mme BOCACCIO Nicole, ,1943,12.09,20.98
